occurrence_date,report_date,report_year,neighbourhood_name,premises_type,status
2017-10-03T00:00:00Z,2017-10-03T00:00:00Z,2017,Kingsway South (15),Outside,STOLEN
2017-11-08T00:00:00Z,2017-11-08T00:00:00Z,2017,Kingsway South (15),House,RECOVERED
2018-09-14T00:00:00Z,2018-09-17T00:00:00Z,2018,Kingsway South (15),Transit,STOLEN
2015-05-07T00:00:00Z,2015-05-14T00:00:00Z,2015,Kingsway South (15),Transit,STOLEN
2015-05-16T00:00:00Z,2015-05-16T00:00:00Z,2015,Kingsway South (15),Transit,STOLEN
2015-09-01T00:00:00Z,2015-10-29T00:00:00Z,2015,Kingsway South (15),Outside,STOLEN
2016-02-18T00:00:00Z,2016-02-18T00:00:00Z,2016,Kingsway South (15),Transit,STOLEN
2019-05-01T00:00:00Z,2019-05-06T00:00:00Z,2019,Kingsway South (15),Transit,STOLEN
2017-09-06T00:00:00Z,2017-09-06T00:00:00Z,2017,Kingsway South (15),Transit,STOLEN
2014-05-07T00:00:00Z,2014-05-07T00:00:00Z,2014,Kingsway South (15),Outside,STOLEN
2014-06-21T00:00:00Z,2014-06-23T00:00:00Z,2014,Kingsway South (15),House,STOLEN
2014-07-24T00:00:00Z,2014-07-28T00:00:00Z,2014,Kingsway South (15),Outside,STOLEN
2016-10-14T00:00:00Z,2016-10-17T00:00:00Z,2016,Kingsway South (15),Outside,STOLEN
2016-11-02T00:00:00Z,2016-11-02T00:00:00Z,2016,Kingsway South (15),Other,STOLEN
2016-11-02T00:00:00Z,2016-11-02T00:00:00Z,2016,Kingsway South (15),Other,STOLEN
2016-11-18T00:00:00Z,2016-11-18T00:00:00Z,2016,Kingsway South (15),Transit,RECOVERED
2020-08-03T00:00:00Z,2020-08-03T00:00:00Z,2020,Kingsway South (15),House,STOLEN
2020-08-03T00:00:00Z,2020-08-03T00:00:00Z,2020,Kingsway South (15),House,STOLEN
2018-07-13T00:00:00Z,2018-07-14T00:00:00Z,2018,Islington-City Centre West (14),House,STOLEN
2020-08-25T00:00:00Z,2020-08-25T00:00:00Z,2020,Kingsway South (15),Outside,STOLEN
2017-09-06T00:00:00Z,2017-09-06T00:00:00Z,2017,Kingsway South (15),Transit,STOLEN
2018-07-27T00:00:00Z,2018-07-28T00:00:00Z,2018,Kingsway South (15),Transit,STOLEN
2015-08-08T00:00:00Z,2015-08-09T00:00:00Z,2015,Kingsway South (15),Other,STOLEN
2016-05-05T00:00:00Z,2016-05-10T00:00:00Z,2016,Kingsway South (15),Educational,STOLEN
2016-07-21T00:00:00Z,2016-07-25T00:00:00Z,2016,Kingsway South (15),Transit,STOLEN
2017-01-10T00:00:00Z,2017-01-23T00:00:00Z,2017,Stonegate-Queensway (16),Apartment,STOLEN
2017-02-23T00:00:00Z,2017-02-27T00:00:00Z,2017,Stonegate-Queensway (16),Commercial,STOLEN
2017-09-16T00:00:00Z,2017-09-17T00:00:00Z,2017,Stonegate-Queensway (16),Outside,STOLEN
